order_item_id,order_id,product_id,quantity,unit_price
199,1618,187,4,27280
200,911,23,5,3737
201,3584,194,5,3688
202,1447,122,4,21804
203,2770,103,4,35913
204,512,141,2,46532
205,489,168,5,45051
206,3720,191,3,7520
207,2570,41,5,46025
208,4115,185,1,27029
209,554,67,5,36657
210,3507,161,1,9221
211,2159,178,1,47568
212,3204,64,4,3472
213,4679,197,1,14026
214,3886,167,4,48120
215,3328,26,3,31673
216,3489,69,4,15361
217,1314,135,3,45042
218,4511,80,5,11540
219,2023,30,2,40401
220,1135,44,2,40935
221,4082,129,5,33887
222,3635,41,1,46025
223,2458,137,2,8464
224,2661,69,3,15361
225,1187,57,4,31572
226,3,23,2,3737
227,594,154,5,23721
228,3451,170,1,6241
229,359,120,4,47115
230,272,143,1,35742
231,1446,51,2,20585
232,3869,24,5,9686
233,3315,77,4,41568
234,4577,30,5,40401
235,4452,64,1,3472
236,115,124,2,34741
237,4586,99,1,37869
238,4608,79,1,223
239,970,161,2,9221
240,2043,108,2,43503
241,3008,112,1,28351
242,2599,40,5,30032
243,3361,11,2,24343
244,3277,116,3,44827
245,1234,129,1,33887
246,1844,103,2,35913
247,1481,38,2,49840
248,3904,48,3,19677
249,4598,61,1,24073
250,4037,145,2,40987
251,2896,145,3,40987
252,1316,154,2,23721
253,2522,170,4,6241
254,4327,198,1,28671
255,756,30,5,40401
256,3230,76,2,13445
257,2576,121,4,22780
258,1405,78,4,18763
259,3330,54,2,27912
260,2845,71,1,7105
261,1226,50,4,43611
262,4608,71,4,7105
263,197,66,5,48044
264,2981,72,3,49906
265,4676,89,5,13038
266,2093,127,3,43187
267,2634,15,4,34947
268,4853,178,2,47568
269,4777,183,4,47927
270,991,118,5,48237
271,4995,45,3,38036
272,2643,183,4,47927
273,1434,135,1,45042
274,2628,43,1,40356
275,3089,26,1,31673
276,455,65,4,6953
277,4362,118,5,48237
278,2207,136,1,46222
279,2897,1,3,21124
280,2501,47,4,5913
281,3916,172,4,39428
282,2919,84,4,30502
283,936,147,1,43058
284,2091,87,1,35506
285,1669,150,2,20032
286,1245,16,4,32874
287,4729,17,1,45975
288,929,128,4,42359
289,1506,96,5,47696
290,2838,4,3,34739
291,1840,135,4,45042
292,2829,55,1,7553
293,4910,8,1,43585
294,59,113,4,10497
295,3358,15,2,34947
296,1633,117,1,41022
297,3028,5,2,17897
298,4332,195,5,7021
299,4763,65,2,6953
300,4406,78,2,18763
301,1962,1,3,21124
302,604,198,5,28671
303,2845,18,4,28350
304,1043,164,3,38160
305,4730,111,4,20070
306,924,191,2,7520
307,4215,187,2,27280
308,1253,149,4,30353
309,2714,19,2,25110
310,3629,197,2,14026
311,4572,142,5,22190
312,3247,120,4,47115
313,2018,32,2,19540
314,4966,190,3,33404
315,631,182,5,13435
316,3529,114,5,8324
317,2991,156,3,25003
318,3863,140,2,37428
319,3749,75,3,47767
320,4318,26,1,31673
321,69,39,2,6630
322,414,178,2,47568
323,2012,16,3,32874
324,4367,168,1,45051
325,2470,38,5,49840
326,4212,50,3,43611
327,3163,111,3,20070
328,1319,50,5,43611
329,3208,180,2,19373
330,4541,40,4,30032
331,2441,11,1,24343
332,4849,175,1,29598
333,4350,47,2,5913
334,606,31,4,44956
335,4932,57,3,31572
336,3730,96,3,47696
337,1552,197,1,14026
338,2431,9,4,30944
339,621,83,5,23640
340,250,45,3,38036
341,655,69,4,15361
342,3096,151,3,10566
343,2693,166,4,43899
344,751,132,3,45375
345,2069,11,4,24343
346,2150,200,1,38685
347,1794,139,5,30435
348,3111,81,4,2528
349,2948,148,3,9790
350,1788,132,3,45375
351,4610,60,2,8409
352,4716,149,4,30353
353,4888,160,5,21740
354,3716,13,3,26139
355,1952,168,4,45051
356,541,176,5,23711
357,1331,149,5,30353
358,2482,13,4,26139
359,1032,14,1,46798
360,1711,4,3,34739
361,3901,49,2,47840
362,3362,59,4,42458
363,100,126,1,5942
364,541,177,1,10206
365,4865,138,2,16853
366,1970,36,1,30561
367,1290,93,3,45858
368,4400,71,5,7105
369,2814,136,2,46222
370,1267,80,4,11540
371,31,165,3,38343
372,231,125,5,32655
373,2943,166,5,43899
374,3241,30,2,40401
375,248,16,3,32874
376,29,193,3,46868
377,2427,53,4,6061
378,2579,50,3,43611
379,776,144,1,17561
380,625,132,3,45375
381,2548,21,2,12513
382,2558,159,2,4570
383,1002,124,3,34741
384,2305,78,2,18763
385,4216,20,5,39766
386,1295,22,5,2765
387,3123,118,2,48237
388,686,104,5,30652
389,3730,36,1,30561
390,1791,74,2,31216
391,1893,156,3,25003
392,829,53,1,6061
393,513,4,5,34739
394,242,48,2,19677
395,2097,78,2,18763
396,3926,79,3,223
397,3408,118,2,48237
398,3758,189,4,5647
399,646,70,3,26772
400,3543,41,4,46025
401,3116,15,3,34947
402,2121,194,3,3688
403,4542,60,1,8409
404,3396,70,1,26772
405,2904,46,3,41739
406,1467,156,4,25003
407,145,65,5,6953
408,668,125,3,32655
409,331,166,4,43899
410,1666,5,2,17897
411,1921,35,2,44784
412,3122,120,5,47115
413,930,175,2,29598
414,2295,127,2,43187
415,381,65,1,6953
416,3546,150,5,20032
417,1956,148,1,9790
418,3435,110,1,31211
419,4750,169,5,26889
420,215,25,1,41213
421,1828,153,3,14263
422,2244,78,4,18763
423,2851,4,4,34739
424,788,189,2,5647
425,1463,122,4,21804
426,1739,192,4,16038
427,2446,145,2,40987
428,3117,62,5,11477
429,3796,170,5,6241
430,1930,6,1,48977
431,2879,144,1,17561
432,1170,1,2,21124
433,2599,60,4,8409
434,3483,185,2,27029
435,818,110,3,31211
436,4115,153,5,14263
437,2363,123,2,44973
438,1495,157,4,6347
439,768,99,1,37869
440,2213,114,3,8324
441,4526,127,2,43187
442,4813,149,1,30353
443,1448,112,3,28351
444,63,189,2,5647
445,2955,197,4,14026
446,3516,57,4,31572
447,2935,190,5,33404
448,2660,106,3,47164
449,1401,188,5,30022
450,2193,103,3,35913
451,4175,165,2,38343
452,4565,52,5,30116
453,4270,117,2,41022
454,750,138,1,16853
455,152,127,4,43187
456,1246,157,4,6347
457,1203,5,1,17897
458,4242,14,2,46798
459,2063,172,1,39428
460,1036,77,2,41568
461,559,153,5,14263
462,1532,48,3,19677
463,1135,52,4,30116
464,536,167,5,48120
465,1341,79,5,223
466,2988,4,2,34739
467,1279,70,4,26772
468,1811,15,5,34947
469,3320,27,2,29914
470,2148,84,1,30502
471,1605,17,3,45975
472,831,104,2,30652
473,1259,75,1,47767
474,4896,158,2,44236
475,367,61,5,24073
476,3242,63,2,24967
477,1275,30,2,40401
478,4830,27,3,29914
479,3915,174,3,25034
480,4086,75,1,47767
481,1061,27,4,29914
482,1647,63,1,24967
483,4690,140,5,37428
484,1028,99,3,37869
485,493,118,5,48237
486,3243,54,4,27912
487,64,189,4,5647
488,77,68,1,48557
489,3993,6,1,48977
490,3629,173,3,34022
491,1523,188,1,30022
492,3098,96,2,47696
493,1028,95,1,41516
494,491,168,1,45051
495,1414,160,5,21740
496,4023,16,5,32874
497,4607,33,3,17438
498,2587,89,3,13038
499,2172,122,4,21804
500,1335,57,1,31572
501,1012,31,4,44956
502,3786,12,3,12106
503,4883,161,5,9221
504,4100,53,3,6061
505,1024,96,4,47696
506,682,23,4,3737
507,3795,113,2,10497
508,579,125,3,32655
509,2199,66,2,48044
510,138,60,3,8409
511,4737,144,5,17561
512,1201,14,4,46798
513,3461,198,1,28671
514,3181,6,5,48977
515,3508,80,2,11540
516,3461,46,4,41739
517,3097,69,3,15361
518,1928,126,3,5942
519,3148,17,2,45975
520,4770,198,2,28671
521,3291,66,2,48044
522,1741,3,1,23713
523,770,78,5,18763
524,4230,117,3,41022
525,4428,142,3,22190
526,2036,59,3,42458
527,1373,111,4,20070
528,2284,47,1,5913
529,1292,11,1,24343
530,1852,7,4,31920
531,2838,76,5,13445
532,4700,85,3,36648
533,730,147,1,43058
534,2135,177,5,10206
535,2012,52,2,30116
536,1109,180,4,19373
537,112,77,4,41568
538,2146,157,4,6347
539,1549,101,1,12724
540,1129,190,1,33404
541,2941,36,5,30561
542,1103,57,5,31572
543,4062,137,1,8464
544,2205,1,4,21124
545,3924,127,4,43187
546,663,43,4,40356
547,4774,98,3,4678
548,3171,69,2,15361
549,1833,65,3,6953
550,1951,188,5,30022
551,4996,176,3,23711
552,1683,12,3,12106
553,4626,67,3,36657
554,1082,180,2,19373
555,432,111,5,20070
556,3051,103,1,35913
557,384,38,4,49840
558,18,107,1,42663
559,2918,39,2,6630
560,4061,64,4,3472
561,4287,58,3,32656
562,4298,83,5,23640
563,465,88,3,46597
564,991,11,3,24343
565,2123,92,3,6310
566,184,133,1,38795
567,2036,128,5,42359
568,3075,133,5,38795
569,3907,76,1,13445
570,1513,5,1,17897
571,4240,91,3,13372
572,4706,188,3,30022
573,4740,176,4,23711
574,3628,106,1,47164
575,3489,17,4,45975
576,37,54,4,27912
577,4525,95,3,41516
578,722,78,3,18763
579,283,70,5,26772
580,2233,1,3,21124
581,3460,196,1,24583
582,4816,130,2,37055
583,333,70,5,26772
584,1178,180,2,19373
585,4734,135,2,45042
586,661,42,4,21688
587,385,95,2,41516
588,188,24,5,9686
589,4535,75,4,47767
590,3239,159,5,4570
591,3062,75,4,47767
592,1750,173,1,34022
593,1746,193,1,46868
594,3678,131,1,13116
595,2391,52,1,30116
596,4110,108,3,43503
597,1402,123,3,44973
598,3633,105,2,34559
599,199,171,3,6316
600,1556,39,2,6630
601,3236,153,5,14263
602,4438,56,3,28306
603,3910,193,1,46868
604,1314,90,3,9165
605,2615,103,4,35913
606,1333,133,2,38795
607,2360,96,3,47696
608,41,90,1,9165
609,216,198,4,28671
610,1797,194,2,3688
611,2288,169,4,26889
612,1844,55,2,7553
613,1829,170,4,6241
614,2990,191,4,7520
615,1736,119,4,37787
616,4839,62,2,11477
617,859,106,3,47164
618,682,159,3,4570
619,3089,65,2,6953
620,3089,104,4,30652
621,1266,23,3,3737
622,2736,145,1,40987
623,3676,3,1,23713
624,3482,137,2,8464
625,2580,32,3,19540
626,2475,22,3,2765
627,243,77,5,41568
628,2849,117,5,41022
629,1330,21,2,12513
630,2004,189,4,5647
631,354,49,5,47840
632,293,49,5,47840
633,1205,113,3,10497
634,3350,154,1,23721
635,694,88,3,46597
636,2159,192,4,16038
637,197,81,3,2528
638,4385,80,2,11540
639,1679,70,5,26772
640,1615,141,1,46532
641,531,26,1,31673
642,2673,76,3,13445
643,4554,21,3,12513
644,3051,160,5,21740
645,4069,14,1,46798
646,1666,54,5,27912
647,4339,31,2,44956
648,4056,23,2,3737
649,2220,120,4,47115
650,2415,37,2,26800
651,2296,91,2,13372
652,3366,167,2,48120
653,4193,12,5,12106
654,2386,71,5,7105
655,1327,18,4,28350
656,2804,159,4,4570
657,519,159,5,4570
658,3406,46,1,41739
659,4023,76,4,13445
660,424,25,1,41213
661,3436,162,3,1347
662,4387,113,1,10497
663,3882,152,3,39621
664,3233,48,5,19677
665,2218,171,1,6316
666,2128,106,4,47164
667,2859,121,4,22780
668,2555,45,1,38036
669,2966,84,2,30502
670,3824,49,5,47840
671,1406,18,5,28350
672,657,25,5,41213
673,1111,112,2,28351
674,4093,98,4,4678
675,1105,162,2,1347
676,216,59,2,42458
677,2087,37,3,26800
678,2202,67,5,36657
679,2775,140,2,37428
680,3396,58,2,32656
681,3707,33,4,17438
682,3828,126,5,5942
683,2502,13,5,26139
684,2433,9,2,30944
685,3765,118,4,48237
686,2839,141,2,46532
687,3519,195,2,7021
688,1848,58,2,32656
689,1528,8,5,43585
690,1303,32,5,19540
691,1680,165,3,38343
692,1493,165,5,38343
693,3928,157,1,6347
694,2261,58,4,32656
695,4100,67,5,36657
696,4520,132,4,45375
697,2702,87,5,35506
698,3299,81,5,2528
699,3088,10,4,27177
700,1031,9,1,30944
701,4638,108,5,43503
702,1763,97,5,46888
703,1303,174,3,25034
704,954,159,1,4570
705,433,173,4,34022
706,1272,59,5,42458
707,4761,131,4,13116
708,316,26,3,31673
709,4316,109,1,43810
710,4943,35,2,44784
711,2935,10,2,27177
712,943,127,1,43187
713,3088,37,4,26800
714,1928,200,4,38685
715,3578,84,4,30502
716,4733,155,4,47628
717,3575,75,2,47767
718,1423,136,2,46222
719,3091,84,4,30502
720,4410,129,5,33887
721,4994,153,3,14263
722,2587,10,3,27177
723,774,52,1,30116
724,952,85,5,36648
725,4482,34,2,40017
726,440,75,2,47767
727,233,161,5,9221
728,4739,158,1,44236
729,1469,119,2,37787
730,3751,148,1,9790
731,1474,162,4,1347
732,1981,82,1,18139
733,3422,110,1,31211
734,2470,66,5,48044
735,2662,194,1,3688
736,2323,130,1,37055
737,1108,37,3,26800
738,1685,129,2,33887
739,2868,15,2,34947
740,3405,50,5,43611
741,4469,133,1,38795
742,44,38,2,49840
743,2314,36,1,30561
744,3348,123,1,44973
745,2514,100,3,32532
746,3248,144,4,17561
747,3789,74,3,31216
748,4134,167,5,48120
749,2115,28,4,27305
750,713,19,4,25110
751,3720,108,5,43503
752,3148,56,4,28306
753,1356,130,2,37055
754,4294,158,3,44236
755,3917,152,4,39621
756,3097,101,5,12724
757,2425,38,3,49840
758,742,129,1,33887
759,53,87,4,35506
760,3502,56,2,28306
761,4623,121,3,22780
762,1563,50,1,43611
763,658,26,3,31673
764,3807,170,1,6241
765,4381,79,5,223
766,2445,145,1,40987
767,971,78,5,18763
768,4112,35,2,44784
769,418,2,3,15797
770,2761,197,2,14026
771,2454,48,5,19677
772,900,37,5,26800
773,4745,61,2,24073
774,3489,196,4,24583
775,3465,188,5,30022
776,175,155,4,47628
777,4131,193,5,46868
778,283,171,4,6316
779,3459,158,1,44236
780,4038,74,3,31216
781,4133,51,5,20585
782,4392,138,2,16853
783,1696,134,5,28499
784,2860,1,3,21124
785,1311,112,2,28351
786,1444,106,3,47164
787,3094,110,5,31211
788,3060,198,5,28671
789,4439,7,5,31920
790,1342,61,2,24073
791,2262,44,3,40935
792,2881,20,5,39766
793,2572,48,5,19677
794,2537,197,3,14026
795,442,102,3,3344
796,3790,142,2,22190
797,4466,111,1,20070
798,1639,196,5,24583
799,2235,14,1,46798
800,4922,70,1,26772
801,1600,154,5,23721
802,33,149,5,30353
803,2436,88,3,46597
804,2222,173,1,34022
805,2486,90,1,9165
806,4414,32,1,19540
807,4350,168,2,45051
808,1252,4,1,34739
809,3075,184,5,44788
810,3448,122,1,21804
811,889,56,4,28306
812,426,67,4,36657
813,2778,59,5,42458
814,4733,97,2,46888
815,4429,26,5,31673
816,1555,137,2,8464
817,4748,108,5,43503
818,2637,146,2,19865
819,4254,91,4,13372
820,2962,195,1,7021
821,803,113,3,10497
822,4689,48,3,19677
823,3746,67,2,36657
824,917,71,5,7105
825,2448,119,1,37787
826,2501,160,4,21740
827,2275,2,5,15797
828,353,68,4,48557
829,4279,153,5,14263
830,4738,118,3,48237
831,1848,158,4,44236
832,2063,15,2,34947
833,4018,47,1,5913
834,3376,199,1,23795
835,4916,162,5,1347
836,4609,93,5,45858
837,3959,83,3,23640
838,1988,125,3,32655
839,942,129,2,33887
840,218,4,5,34739
841,4534,91,2,13372
842,3485,79,5,223
843,643,126,5,5942
844,1604,194,4,3688
845,3079,153,1,14263
846,4634,37,1,26800
847,2884,80,3,11540
848,1014,137,1,8464
849,822,60,4,8409
850,928,76,5,13445
851,4214,65,1,6953
852,1727,131,4,13116
853,4899,83,5,23640
854,4981,154,1,23721
855,1515,169,1,26889
856,1743,179,2,48741
857,3815,76,4,13445
858,135,55,2,7553
859,335,172,3,39428
860,2952,112,1,28351
861,4793,154,3,23721
862,2448,75,4,47767
863,1922,78,4,18763
864,4296,117,1,41022
865,1688,2,3,15797
866,1589,191,3,7520
867,2318,83,3,23640
868,3423,138,2,16853
869,4150,118,1,48237
870,3423,80,2,11540
871,1582,145,1,40987
872,4686,103,4,35913
873,2933,177,1,10206
874,1238,90,2,9165
875,3208,9,5,30944
876,660,3,1,23713
877,2721,35,4,44784
878,3691,200,5,38685
879,4921,68,2,48557
880,3834,113,1,10497
881,4149,52,3,30116
882,2198,113,1,10497
883,3741,95,1,41516
884,4473,41,2,46025
885,3122,22,4,2765
886,2047,178,5,47568
887,4869,154,4,23721
888,2609,84,5,30502
889,3453,198,4,28671
890,491,161,4,9221
891,2689,37,3,26800
892,1866,54,4,27912
893,3552,162,1,1347
894,4934,160,5,21740
895,533,184,3,44788
896,3817,133,4,38795
897,525,104,2,30652
898,3582,33,1,17438
899,4183,79,1,223
900,1412,15,2,34947
901,895,21,5,12513
902,1953,136,1,46222
903,708,176,3,23711
904,1678,118,4,48237
905,3416,153,4,14263
906,2670,24,2,9686
907,2038,46,3,41739
908,3918,143,4,35742
909,515,77,3,41568
910,341,119,2,37787
911,3598,115,1,12955
912,4342,84,2,30502
913,4142,41,4,46025
914,1974,67,4,36657
915,1259,147,1,43058
916,3485,143,1,35742
917,68,109,3,43810
918,1710,13,5,26139
919,1450,17,1,45975
920,4013,57,5,31572
921,1762,36,5,30561
922,4985,13,3,26139
923,4209,18,5,28350
924,1367,129,2,33887
925,4038,165,1,38343
926,2830,66,1,48044
927,1116,88,4,46597
928,2184,78,3,18763
929,4392,124,4,34741
930,572,127,1,43187
931,4657,10,1,27177
932,3310,74,1,31216
933,2545,136,3,46222
934,3545,76,3,13445
935,3516,111,3,20070
936,2918,144,2,17561
937,754,107,4,42663
938,16,193,3,46868
939,4164,50,5,43611
940,587,120,3,47115
941,4942,6,5,48977
942,3224,200,4,38685
943,358,120,1,47115
944,1553,104,5,30652
945,1448,184,5,44788
946,2545,62,4,11477
947,1134,74,4,31216
948,2498,92,4,6310
949,4815,140,3,37428
950,1792,108,5,43503
951,1525,63,4,24967
952,3079,55,2,7553
953,4314,6,3,48977
954,2200,161,5,9221
955,2062,113,3,10497
956,3538,118,2,48237
957,790,189,5,5647
958,2558,13,1,26139
959,3013,15,1,34947
960,239,165,1,38343
961,2642,154,2,23721
962,1885,67,1,36657
963,3337,88,2,46597
964,3341,175,5,29598
965,4281,59,4,42458
966,3855,93,3,45858
967,1071,121,2,22780
968,4270,173,4,34022
969,821,77,5,41568
970,1103,199,5,23795
971,4065,30,3,40401
972,4003,55,1,7553
973,161,142,4,22190
974,651,162,1,1347
975,2196,96,2,47696
976,811,42,3,21688
977,252,142,4,22190
978,775,44,3,40935
979,4567,66,5,48044
980,4380,56,1,28306
981,2494,60,5,8409
982,889,165,2,38343
983,2052,30,3,40401
984,4100,124,4,34741
985,3819,102,1,3344
986,852,189,5,5647
987,4389,179,2,48741
988,1333,131,1,13116
989,2857,22,5,2765
990,4505,183,5,47927
991,4438,60,5,8409
992,4139,3,1,23713
993,4142,136,1,46222
994,2026,81,3,2528
995,42,156,1,25003
996,1995,53,5,6061
997,946,14,1,46798
998,218,40,2,30032
999,3477,129,4,33887
1000,4880,197,5,14026
1001,4112,72,3,49906
1002,3644,54,3,27912
1003,4655,195,5,7021
1004,4815,152,4,39621
1005,819,141,3,46532
1006,592,149,1,30353
1007,2717,49,1,47840
1008,3148,101,3,12724
1009,4293,57,5,31572
1010,4978,38,4,49840
1011,304,54,1,27912
1012,3034,180,3,19373
1013,3922,10,2,27177
1014,2267,117,5,41022
1015,3973,114,1,8324
1016,2062,199,5,23795
1017,4080,96,4,47696
1018,3373,85,1,36648
1019,3609,136,1,46222
1020,3125,85,1,36648
1021,3880,114,3,8324
1022,4915,52,5,30116
1023,3916,73,4,47240
1024,2544,3,5,23713
1025,931,114,4,8324
1026,4832,132,4,45375
1027,4344,84,4,30502
1028,4914,79,2,223
1029,1737,14,3,46798
1030,1121,42,2,21688
1031,1702,51,1,20585
1032,4844,111,5,20070
1033,1600,21,5,12513
1034,962,120,4,47115
1035,2971,76,3,13445
1036,520,156,2,25003
1037,820,193,4,46868
1038,2857,142,3,22190
1039,349,177,5,10206
1040,4826,55,2,7553
1041,1977,71,3,7105
1042,2128,116,4,44827
1043,1820,138,5,16853
1044,3796,96,1,47696
1045,246,168,3,45051
1046,4443,99,1,37869
1047,3398,144,4,17561
1048,1413,185,4,27029
1049,3586,12,5,12106
1050,4593,114,1,8324
1051,3886,35,2,44784
1052,1620,33,3,17438
1053,4092,143,4,35742
1054,1275,13,5,26139
1055,1022,49,4,47840
1056,2617,108,2,43503
1057,3036,160,3,21740
1058,3338,48,1,19677
1059,133,61,3,24073
1060,3287,106,4,47164
1061,178,81,5,2528
1062,3417,142,5,22190
1063,2407,51,2,20585
1064,2338,200,3,38685
1065,3474,193,2,46868
1066,359,6,1,48977
1067,391,47,5,5913
1068,3608,187,2,27280
1069,4041,9,1,30944
1070,3663,114,3,8324
1071,61,199,3,23795
1072,2513,95,2,41516
1073,2352,109,5,43810
1074,691,152,4,39621
1075,2809,103,4,35913
1076,3444,183,5,47927
1077,3040,121,4,22780
1078,4936,168,1,45051
1079,398,188,4,30022
1080,1287,49,2,47840
1081,3236,177,4,10206
1082,3269,104,3,30652
1083,1234,196,4,24583
1084,3008,59,4,42458
1085,1798,37,2,26800
1086,3735,18,3,28350
1087,1056,124,3,34741
1088,577,71,1,7105
1089,4229,49,3,47840
1090,4148,144,2,17561
1091,3952,149,3,30353
1092,1159,157,1,6347
1093,2829,27,5,29914
1094,183,78,5,18763
1095,786,112,4,28351
1096,2823,157,1,6347
1097,1229,77,2,41568
1098,2789,95,4,41516
1099,649,56,3,28306
1100,4044,12,4,12106
1101,466,47,2,5913
1102,886,127,2,43187
1103,26,125,5,32655
1104,629,67,5,36657
1105,107,159,1,4570
1106,1065,171,1,6316
1107,4627,180,1,19373
1108,958,60,4,8409
1109,676,64,2,3472
1110,1730,7,3,31920
1111,3009,15,3,34947
1112,1812,99,1,37869
1113,2433,22,4,2765
1114,2837,186,5,1530
1115,521,69,4,15361
1116,2545,19,2,25110
1117,3398,44,2,40935
1118,700,24,5,9686
1119,4669,121,1,22780
1120,182,93,2,45858
1121,3434,29,2,45303
1122,4407,198,5,28671
1123,4890,173,3,34022
1124,2277,42,5,21688
1125,1684,90,5,9165
1126,1005,193,4,46868
1127,2273,79,5,223
1128,2096,153,2,14263
1129,3999,124,1,34741
1130,2945,127,2,43187
1131,1387,18,2,28350
1132,3214,81,2,2528
1133,992,132,5,45375
1134,4791,172,2,39428
1135,3654,51,2,20585
1136,819,137,5,8464
1137,192,196,4,24583
1138,4387,21,4,12513
1139,652,147,3,43058
1140,4772,38,1,49840
1141,909,134,3,28499
1142,1027,68,2,48557
1143,4405,124,1,34741
1144,2332,21,3,12513
1145,1022,50,4,43611
1146,586,172,2,39428
1147,2101,94,4,47507
1148,1040,104,5,30652
1149,4526,88,4,46597
1150,1927,127,5,43187
1151,3777,94,3,47507
1152,1724,95,5,41516
1153,174,172,1,39428
1154,2768,84,4,30502
1155,3623,21,1,12513
1156,306,15,3,34947
1157,2336,120,4,47115
1158,3763,102,3,3344
1159,3396,24,1,9686
1160,2102,5,1,17897
1161,4867,19,2,25110
1162,1084,103,3,35913
1163,3502,194,3,3688
1164,1047,12,3,12106
1165,3186,22,4,2765
1166,69,169,5,26889
1167,748,187,5,27280
1168,2603,89,4,13038
